ตลาดส่งออกสำคัญของไทย  ปี 2559 - 2562(มกราคม - เมษายน),,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,
 รายการ ,2559,,2560,,2561,,2561,,2562,,2560,2561,2562
,,,,,,,(ม.ค. - เม.ย.),,(ม.ค. - เม.ย.),,,,
,,,,,,,,,,,,(ม.ค. - เม.ย.),(ม.ค. - เม.ย.)
,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,,,
รวมทั้งสิ้น,-,"7,550,704.07",-,"8,006,265.18",-,"8,093,441.39",-,"2,588,738.28",-,"3,204,469.53",6.03,1.09,23.78
   สหรัฐอเมริกา,1,"858,391.55",2,"898,823.30",2,"898,362.85",2,"274,206.06",1,"427,880.46",4.71,-0.05,56.04
   จีน,2,"833,538.03",1,"997,982.74",1,"966,942.44",1,"313,462.44",2,"367,853.05",19.73,-3.11,17.35
   ญี่ปุ่น,3,"718,354.79",3,"746,519.27",3,"799,513.83",3,"258,693.62",3,"322,578.51",3.92,7.10,24.70
   เวียดนาม,7,"330,092.24",5,"391,210.85",4,"416,063.01",5,"121,066.58",4,"162,936.72",18.52,6.35,34.58
   มาเลเซีย,6,"337,477.22",7,"349,848.66",6,"373,038.97",6,"115,236.85",5,"141,007.19",3.67,6.63,22.36
   ฮ่องกง,4,"402,289.86",4,"416,257.45",5,"401,688.46",4,"126,201.43",6,"142,802.41",3.47,-3.50,13.15
   ออสเตรเลีย,5,"361,457.20",6,"355,227.73",7,"345,299.71",7,"112,850.43",7,"128,191.61",-1.72,-2.79,13.59
   อินโดนีเซีย,9,"286,679.25",8,"299,494.49",8,"322,576.96",8,"104,642.41",8,"115,036.85",4.47,7.71,9.93
   อินเดีย,11,"180,708.68",11,"218,975.41",12,"243,477.84",10,"81,631.94",9,"107,499.78",21.18,11.19,31.69
   สิงคโปร์,8,"288,800.27",9,"281,120.80",9,"302,183.47",9,"88,318.36",10,"103,352.64",-2.66,7.49,17.02
   กัมพูชา,13,"163,770.84",12,"179,082.76",11,"244,666.84",12,"66,162.24",11,"91,645.12",9.35,36.62,38.52
   ฟิลิปปินส์,10,"224,220.74",10,"234,963.36",10,"253,316.72",11,"76,969.45",12,"90,287.66",4.79,7.81,17.30
   เกาหลีใต้,17,"142,750.70",15,"157,943.69",15,"156,495.94",15,"51,784.49",13,"65,002.41",10.64,-0.92,25.52
   เยอรมนี,14,"156,930.41",13,"170,537.99",14,"165,183.28",14,"53,267.79",14,"60,515.12",8.67,-3.14,13.61
   เนเธอร์แลนด์,15,"148,153.43",14,"161,321.44",13,"166,758.86",13,"60,156.56",15,"59,661.42",8.89,3.37,-0.82
   เมียนม่า,16,"146,534.57",16,"146,142.30",16,"147,880.30",16,"48,683.03",16,"59,585.03",-0.27,1.19,22.39
   สหราชอาณาจักร,19,"134,942.39",18,"138,345.12",18,"130,189.43",18,"43,093.12",17,"53,579.24",2.52,-5.90,24.33
   ลาว,18,"140,092.38",20,"133,694.53",17,"132,105.90",17,"45,040.50",18,"50,241.42",-4.57,-1.19,11.55
   ไต้หวัน,20,"118,230.57",19,"135,848.97",19,"126,840.28",19,"41,735.40",19,"48,469.64",14.90,-6.63,16.14
   สวิตเซอร์แลนด์,12,"170,616.14",17,"138,544.40",23,"76,598.99",20,"38,824.11",20,"37,024.17",-18.80,-44.71,-4.64
   เม็กซิโก,22,"98,835.95",21,"100,994.21",21,"90,461.00",23,"28,417.23",21,"40,342.66",2.18,-10.43,41.97
   แอฟริกาใต้,24,"73,713.45",23,"83,807.35",20,"90,930.73",22,"28,707.67",22,"35,394.84",13.69,8.50,23.29
   สหรัฐอาหรับเอมิเรตส์,21,"100,771.57",22,"96,038.58",22,"84,272.89",21,"28,782.91",23,"31,830.40",-4.70,-12.25,10.59
   อิตาลี,26,"54,312.28",26,"55,998.02",25,"54,093.02",25,"19,182.91",24,"26,333.89",3.10,-3.40,37.28
   ฝรั่งเศส,25,"54,448.24",24,"60,092.40",24,"62,894.54",24,"20,183.08",25,"26,352.47",10.37,4.66,30.57
   ซาอุดีอาระเบีย,23,"77,744.64",25,"58,670.42",28,"49,198.64",28,"15,766.92",26,"21,422.03",-24.53,-16.14,35.87
   เบลเยียม,28,"51,096.32",30,"46,968.59",29,"47,911.32",27,"15,947.25",27,"20,444.97",-8.08,2.01,28.20
   แคนาดา,30,"47,036.39",28,"48,369.43",27,"50,698.58",30,"15,174.04",28,"21,329.16",2.83,4.82,40.56
   นิวซีแลนด์,29,"50,277.51",27,"55,591.71",26,"53,377.53",26,"17,612.05",29,"19,963.56",10.57,-3.98,13.35
   บราซิล,27,"53,244.50",31,"44,778.15",30,"47,514.96",31,"14,602.61",30,"18,883.41",-15.90,6.11,29.32
   ปากีสถาน,32,"35,556.80",29,"47,560.23",31,"47,411.22",29,"15,735.33",31,"18,464.15",33.76,-0.31,17.34
   อาร์เจนตินา,33,"34,408.39",34,"37,455.15",32,"38,961.29",32,"13,753.93",32,"14,303.13",8.85,4.02,3.99
   สเปน,34,"33,308.15",36,"33,120.24",35,"35,226.57",36,"11,790.29",33,"14,363.72",-0.56,6.36,21.83
   บังกลาเทศ,35,"32,932.07",33,"42,349.31",33,"38,302.15",33,"13,671.57",34,"14,072.54",28.60,-9.56,2.93
   รัสเซีย,40,"20,241.28",35,"34,873.54",34,"37,220.07",35,"12,026.97",35,"13,184.48",72.29,6.73,9.62
   ตุรกี,31,"37,682.60",32,"42,471.63",36,"34,570.87",34,"13,490.06",36,"12,537.74",12.71,-18.60,-7.06
