แหล่งนำเข้าสำคัญของไทย  ปี 2559 - 2562(มกราคม - เมษายน),,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,
 รายการ ,2559,,2560,,2561,,2561,,2562,,2560,2561,2562
,,,,,,,(ม.ค. - เม.ย.),,(ม.ค. - เม.ย.),,,,
,,,,,,,,,,,,(ม.ค. - เม.ย.),(ม.ค. - เม.ย.)
,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,,,
รวมทั้งสิ้น,-,"6,888,186.70",-,"7,587,118.41",-,"8,098,098.18",-,"2,584,796.01",-,"3,229,146.44",10.15,6.73,24.93
   จีน,1,"1,490,905.64",1,"1,515,066.43",1,"1,623,817.61",1,"498,910.20",1,"640,684.82",1.62,7.18,28.42
   ญี่ปุ่น,2,"1,088,576.45",2,"1,097,916.09",2,"1,145,311.33",2,"367,121.05",2,"444,868.18",0.86,4.32,21.18
   สหรัฐอเมริกา,3,"427,366.35",3,"508,528.41",3,"490,650.88",3,"161,206.76",3,"270,695.74",18.99,-3.52,67.92
   มาเลเซีย,4,"382,818.39",4,"397,025.80",4,"433,318.14",4,"145,509.28",4,"187,730.71",3.71,9.14,29.02
   สหรัฐอาหรับเอมิเรตส์,9,"212,099.81",8,"253,138.75",5,"347,835.04",5,"102,196.72",5,"124,837.45",19.35,37.41,22.15
   เกาหลีใต้,5,"258,286.64",6,"274,059.90",6,"288,259.90",6,"95,555.93",6,"119,514.74",6.11,5.18,25.07
   ไต้หวัน,6,"252,529.15",5,"279,143.24",7,"280,172.13",7,"89,610.33",7,"110,811.16",10.54,0.37,23.66
   อินโดนีเซีย,8,"224,424.58",9,"250,359.61",8,"261,253.70",8,"86,476.07",8,"103,253.88",11.56,4.35,19.40
   สิงคโปร์,7,"230,991.14",7,"270,685.93",9,"250,136.72",9,"77,431.06",9,"95,472.38",17.18,-7.59,23.30
   เยอรมนี,10,"208,153.86",11,"207,724.65",12,"219,559.87",11,"71,853.77",10,"85,137.39",-0.21,5.70,18.49
   ซาอุดีอาระเบีย,11,"169,833.78",12,"205,874.66",10,"237,511.20",10,"74,381.95",11,"86,494.37",21.22,15.37,16.28
   เวียดนาม,12,"156,597.56",13,"169,638.91",14,"185,588.08",13,"60,315.98",12,"74,729.76",8.33,9.40,23.90
   อินเดีย,18,"91,324.36",15,"133,403.74",15,"158,095.02",16,"47,624.20",13,"66,797.05",46.08,18.51,40.26
   ออสเตรเลีย,14,"121,215.37",14,"150,816.14",13,"193,365.59",15,"53,462.94",14,"59,584.96",24.42,28.21,11.45
   สวิตเซอร์แลนด์,13,"146,468.15",10,"246,329.04",11,"221,501.35",12,"65,137.93",15,"55,537.58",68.18,-10.08,-14.74
   ไทย,15,"101,943.58",17,"112,079.15",19,"107,993.60",18,"35,985.12",16,"51,681.31",9.94,-3.65,43.62
   ฟิลิปปินส์,17,"96,128.91",18,"110,718.65",18,"111,921.00",19,"35,527.29",17,"43,719.01",15.18,1.09,23.06
   กาตาร์,19,"86,519.05",21,"86,643.99",17,"114,795.21",20,"33,558.25",18,"50,084.38",0.14,32.49,49.25
   เมียนม่า,20,"83,604.50",22,"84,348.96",20,"97,945.54",22,"29,766.63",19,"41,559.96",0.89,16.12,39.62
   ฮ่องกง,25,"56,613.43",20,"99,095.17",22,"95,448.07",17,"41,917.33",20,"37,718.45",75.04,-3.68,-10.02
   ฝรั่งเศส,16,"99,376.37",16,"118,599.47",16,"122,629.12",14,"54,473.56",21,"34,017.83",19.34,3.40,-37.55
   สหราชอาณาจักร,22,"71,461.38",19,"99,883.58",21,"96,688.69",21,"31,164.20",22,"33,093.33",39.77,-3.20,6.19
   รัสเซีย,26,"48,300.96",26,"67,969.37",24,"78,090.44",25,"21,292.68",23,"32,945.11",40.72,14.89,54.73
   ลาว,24,"66,578.46",23,"75,868.87",23,"84,861.32",23,"27,740.39",24,"33,020.31",13.95,11.85,19.03
   อิตาลี,23,"66,907.20",25,"70,738.26",25,"70,335.75",24,"22,366.17",25,"29,553.47",5.73,-0.57,32.13
   บราซิล,21,"76,629.91",24,"74,234.89",26,"67,007.99",26,"18,123.08",26,"26,271.41",-3.13,-9.74,44.96
   คูเวต,39,"16,578.66",39,"17,992.73",31,"30,217.34",28,"11,275.19",27,"15,319.23",8.53,67.94,35.87
   กัมพูชา,28,"33,346.31",29,"30,739.48",36,"24,917.90",30,"10,968.42",28,"12,119.83",-7.82,-18.94,10.50
   แคนาดา,29,"32,097.43",31,"26,947.40",29,"31,898.07",36,"9,020.38",29,"12,930.04",-16.04,18.37,43.34
   นิวซีแลนด์,35,"20,864.08",34,"22,005.64",38,"23,316.40",38,"7,525.16",30,"12,133.91",5.47,5.96,61.24
   เนเธอร์แลนด์,27,"35,041.85",28,"33,809.58",28,"33,112.96",29,"11,139.90",31,"12,457.12",-3.52,-2.06,11.82
   เบลเยียม,30,"28,537.76",27,"38,212.69",27,"38,983.53",27,"11,683.58",32,"12,234.76",33.90,2.02,4.72
   อาร์เจนตินา,38,"19,883.67",37,"20,222.39",40,"18,907.07",32,"9,806.79",33,"9,954.11",1.70,-6.50,1.50
   สเปน,33,"22,097.64",32,"23,562.82",35,"27,049.50",35,"9,066.36",34,"10,585.99",6.63,14.80,16.76
   เม็กซิโก,36,"20,808.74",36,"20,515.30",39,"21,221.49",39,"6,493.43",35,"10,114.91",-1.41,3.44,55.77
   สวีเดน,32,"25,126.77",33,"23,471.38",41,"18,793.86",40,"6,062.14",36,"9,521.00",-6.59,-19.93,57.06
