สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
โลก,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.)
รวมทุกสินค้า,"8,006,265.2","8,108,299.8","3,292,868.5","3,204,469.5",6.03,1.27,1.49,-2.68,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","777,083.6","744,433.5","302,716.9","302,419.3",13.78,-4.20,-6.65,-0.10,9.71,9.18,9.19,9.44
  1.1 สินค้ากสิกรรม,"593,307.8","555,429.8","229,839.9","228,556.5",17.50,-6.38,-9.15,-0.56,7.41,6.85,6.98,7.13
   1.1.1 ข้าว,"175,160.8","182,081.7","71,853.3","62,417.5",13.23,3.95,10.22,-13.13,2.19,2.25,2.18,1.95
    (1) ข้าวขาว,"61,892.1","78,390.0","29,110.5","23,462.6",4.25,26.66,10.50,-19.40,0.77,0.97,0.88,0.73
     (1.1) ข้าวขาว 100%,"14,596.9","13,117.7","4,437.0","6,228.8",57.05,-10.13,-26.64,40.38,0.18,0.16,0.13,0.19
     (1.2) ข้าวขาว 5-10%,"24,959.5","41,687.2","16,813.3","10,157.8",-29.65,67.02,30.66,-39.58,0.31,0.51,0.51,0.32
     (1.3) ข้าวขาว 15-20%,"1,122.4","2,377.3",927.3,322.7,-74.02,111.80,81.45,-65.20,0.01,0.03,0.03,0.01
     (1.4) ข้าวขาว 25-35%,669.4,"7,269.0",381.9,"1,728.8",-93.00,985.97,62.63,352.73,0.01,0.09,0.01,0.05
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,"20,544.0","13,938.8","6,551.0","5,024.5","2,829.26",-32.15,-1.96,-23.30,0.26,0.17,0.20,0.16
    (2) ข้าวหอมมะลิ,"42,049.1","45,306.2","18,377.7","17,122.1",-0.64,7.75,17.06,-6.83,0.53,0.56,0.56,0.53
     (2.1) ข้าวหอมมะลิ 100%,"41,839.1","45,015.2","18,215.9","17,045.7",-0.11,7.59,16.65,-6.42,0.52,0.56,0.55,0.53
     (2.2) ข้าวหอมมะลิ 5-10%,184.4,261.9,148.7,74.3,-56.98,42.03,104.05,-50.07,0.00,0.00,0.00,0.00
     (2.3) ข้าวหอมมะลิ 15-20%,25.6,29.1,13.0,2.2,333.54,13.90,28.92,-83.45,0.00,0.00,0.00,0.00
    (3) ปลายข้าว,"20,025.2","15,910.1","6,815.5","6,024.6",11.44,-20.55,-14.90,-11.60,0.25,0.20,0.21,0.19
     (3.1) ปลายข้าวขาว,"5,416.1","6,510.8","3,123.2","2,226.1",83.64,20.21,163.44,-28.72,0.07,0.08,0.09,0.07
     (3.2) ปลายข้าวหอมมะลิ,"8,682.4","5,475.2","2,175.8","2,395.7",-19.52,-36.94,-51.49,10.11,0.11,0.07,0.07,0.07
     (3.3) ปลายข้าวอื่น ๆ,"5,926.7","3,924.1","1,516.5","1,402.8",40.03,-33.79,-35.16,-7.49,0.07,0.05,0.05,0.04
    (4) ข้าวเหนียว,"4,457.1","3,894.0","2,182.7","1,386.4",8.11,-12.63,7.09,-36.48,0.06,0.05,0.07,0.04
    (5) ข้าวนึ่ง,"44,728.2","36,324.2","14,586.8","13,539.3",54.29,-18.79,18.26,-7.18,0.56,0.45,0.44,0.42
    (6) ข้าวกล้อง,"2,004.1","2,255.0",778.1,882.5,4.38,12.52,1.82,13.42,0.03,0.03,0.02,0.03
     (6.1) ข้าวกล้องขาว,238.0,320.9,145.4,164.1,-3.83,34.85,80.80,12.91,0.00,0.00,0.00,0.01
     (6.2) ข้าวกล้องหอมมะลิ,683.5,778.0,347.9,251.9,-18.92,13.82,3.38,-27.60,0.01,0.01,0.01,0.01
     (6.3) ข้าวกล้องอื่น ๆ,"1,082.6","1,156.1",284.8,466.5,30.49,6.79,-17.99,63.78,0.01,0.01,0.01,0.01
    (7) ข้าวอื่นๆ,5.1,2.0,2.0,0.0,563.96,-60.08,9.42,-100.00,0.00,0.00,0.00,0.00
   1.1.2 ข้าวโพด,"6,388.8","3,844.8","1,586.4","1,216.2",-5.03,-39.82,-61.88,-23.34,0.08,0.05,0.05,0.04
    (1) ข้าวโพดสำหรับบริโภค,35.7,87.1,2.4,2.0,324.66,143.94,-92.66,-14.93,0.00,0.00,0.00,0.00
    (2) ข้าวโพดสำหรับเลี้ยงสัตว์,"2,321.7",685.4,131.5,4.4,-52.02,-70.48,-92.32,-96.65,0.03,0.01,0.00,0.00
    (3) ข้าวโพดสำหรับทำพันธุ์,"2,267.3","1,883.7",944.4,"1,181.1",21.52,-16.92,-31.31,25.07,0.03,0.02,0.03,0.04
    (4) ข้าวโพดอื่น ๆ,"1,764.2","1,188.6",508.1,28.6,"12,950.82",-32.63,-51.28,-94.37,0.02,0.01,0.02,0.00
   1.1.3 ถั่ว,"1,848.1","1,240.1",636.0,675.1,26.30,-32.90,-39.40,6.14,0.02,0.02,0.02,0.02
    (1) ถั่วเขียวผิวมัน,635.6,500.2,254.7,170.6,22.76,-21.30,-15.85,-32.99,0.01,0.01,0.01,0.01
    (2) ถั่วเขียวผิวดำ,289.3,91.5,27.2,63.7,59.43,-68.38,-87.28,134.28,0.00,0.00,0.00,0.00
    (3) ถั่วนิ้วนางแดง,94.5,14.1,13.5,16.2,12.78,-85.10,-80.21,20.31,0.00,0.00,0.00,0.00
    (4) ถั่วอื่น ๆ,828.8,634.3,340.7,424.5,21.82,-23.47,-26.74,24.61,0.01,0.01,0.01,0.01
   1.1.4 ผลิตภัณฑ์มันสำปะหลัง,"95,544.9","99,798.3","44,497.3","41,401.9",-7.47,4.45,8.76,-6.96,1.19,1.23,1.35,1.29
    (1) มันสำปะหลังอัดเม็ดและมันเส้น,"36,733.8","28,512.5","16,930.7","11,053.3",-6.32,-22.38,2.83,-34.71,0.46,0.35,0.51,0.34
     (1.1) มันสำปะหลังอัดเม็ด,199.6,88.6,41.0,45.9,152.87,-55.63,37.73,11.91,0.00,0.00,0.00,0.00
     (1.2) มันเส้น,"36,534.1","28,423.9","16,889.7","11,007.4",-6.65,-22.20,2.76,-34.83,0.46,0.35,0.51,0.34
    (2) แป้งมันสำปะหลัง,"35,305.3","44,671.2","17,208.7","19,241.4",-11.83,26.53,17.67,11.81,0.44,0.55,0.52,0.60
     (2.1) แป้งมันสำปะหลัง,927.7,"1,412.5",580.9,291.9,31.80,52.26,2.46,-49.74,0.01,0.02,0.02,0.01
     (2.2) แป้งหยาบทำจากมันสำปะหลัง,0.5,0.5,0.5,0.0,-98.07,-2.38,"1,116.62",-90.63,0.00,0.00,0.00,0.00
     (2.3) สตาร์ชทำจากมันสำปะหลัง,"34,377.1","43,258.1","16,627.4","18,949.4",-12.43,25.83,18.28,13.96,0.43,0.53,0.50,0.59
     (2.4) แป้งมันสำปะหลังอื่น ๆ,0.0,,,,-99.99,,,,0.00,,,
    (3) เด๊กตรินและโมดิไฟด์สตาร์ชอื่น ๆ,"20,973.1","24,494.1","9,598.0","10,235.9",-2.04,16.79,9.73,6.65,0.26,0.30,0.29,0.32
    (4) ผลิตภัณท์มันสำปะหลัง อื่น ๆ,"2,532.6","2,120.5",759.9,871.4,-2.39,-16.27,-29.51,14.68,0.03,0.03,0.02,0.03
     (4.1) หัวมันสำปะหลัง,0.2,0.1,0.1,0.3,-86.99,-57.78,-47.85,289.64,0.00,0.00,0.00,0.00
     (4.2) สาคู ทำจากแป้งมันสำปะหลัง,737.5,944.1,352.2,440.1,-13.09,28.01,11.36,24.96,0.01,0.01,0.01,0.01
     (4.3) กากและมันสำปะหลังอื่น ๆ,"1,794.9","1,176.3",407.6,431.0,2.90,-34.46,-46.48,5.75,0.02,0.01,0.01,0.01
   1.1.5 ผลไม้สด แช่เย็น แช่แข็งและแห้ง,"76,700.5","85,181.8","33,085.5","52,613.9",40.75,11.06,11.78,59.02,0.96,1.05,1.00,1.64
    (1) ผลไม้สด,"56,841.1","62,207.6","26,824.1","44,830.1",46.90,9.44,7.34,67.13,0.71,0.77,0.81,1.40
     (1.1) ลำไยสด,"20,998.4","17,219.3","6,981.7","9,225.6",83.31,-18.00,-23.38,32.14,0.26,0.21,0.21,0.29
     (1.2) ทุเรียนสด,"22,098.4","30,187.0","13,833.1","23,887.7",26.24,36.60,30.16,72.69,0.28,0.37,0.42,0.75
     (1.3) มะม่วงสด,"1,330.7","2,017.0","1,281.0","1,239.8",8.75,51.58,46.30,-3.22,0.02,0.02,0.04,0.04
     (1.4) ลิ้นจี่สด,135.0,44.9,36.9,28.6,37.50,-66.73,-70.10,-22.47,0.00,0.00,0.00,0.00
     (1.5) กล้วยสด,467.3,725.4,254.0,281.6,41.73,55.25,34.08,10.87,0.01,0.01,0.01,0.01
     (1.6) ผลไม้จำพวกส้ม สด,76.2,41.9,21.7,10.3,-85.98,-45.00,-60.45,-52.54,0.00,0.00,0.00,0.00
     (1.7) เงาะสด,183.2,170.1,71.7,91.8,63.53,-7.13,21.47,28.12,0.00,0.00,0.00,0.00
     (1.8) มังคุดสด,"7,436.2","7,271.2","2,151.4","7,865.3",74.00,-2.22,0.17,265.59,0.09,0.09,0.07,0.25
     (1.9) สับปะรดสด,151.5,281.0,120.7,158.0,594.80,85.46,226.65,30.92,0.00,0.00,0.00,0.00
     (1.10) ผลไม้สดอื่น ๆ,"3,964.2","4,249.7","2,072.0","2,041.3",26.62,7.20,17.52,-1.48,0.05,0.05,0.06,0.06
